workload,tiering,mem_policy,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,pgmigrate_fail,numa_pages_migrated,thp_migration_success,thp_migration_success_2,thp_migration_success_3,thp_migration_success_4,thp_migration_success_5,thp_migration_success_6,thp_migration_success_7,thp_migration_success_8,thp_migration_success_9,thp_fault_alloc,thp_fault_alloc_2,thp_fault_alloc_3,thp_fault_alloc_4,thp_fault_alloc_5,thp_fault_alloc_6,thp_fault_alloc_7,thp_fault_alloc_8,thp_fault_alloc_9,thp_migration_split,thp_migration_split_2,thp_migration_split_3,thp_migration_split_4,thp_migration_split_5,thp_migration_split_6,thp_migration_split_7,thp_migration_split_8,thp_migration_split_9,thp_migration_fail,thp_migration_fail_2,thp_migration_fail_3,thp_migration_fail_4,thp_migration_fail_5,thp_migration_fail_6,thp_migration_fail_7,thp_migration_fail_8,thp_migration_fail_9,numa_local,numa_other
bfs-web,nobalance_thp_64K,cpu0.weightedinterleave0_2,190.56,52.48,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920023,2405875
bfs-web,nobalance_thp_512K,cpu0.weightedinterleave0_2,190.19,52.58,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121649,2056814
bfs-web,autonuma_tiering,cpu0.weightedinterleave0_2,188.99,52.91,15.4,838585,1050752,0,839397,838585,0,838585,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,9296549,8399098
bfs-web,autonuma_tiering_thp,cpu0.weightedinterleave0_2,172.32,58.03,15.3,1015236,1044603,2036,3626,1015236,0,1015236,1980,0,0,0,0,0,0,0,0,24669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2179444,2118749
bfs-web,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,173.79,57.54,17.2,933349,1044655,0,58522,933349,0,933349,0,0,0,58329,0,0,0,0,0,0,0,0,811419,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920182,2407626
bfs-web,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,174.25,57.39,15.4,972275,1031219,0,8280,972275,0,972275,0,0,0,0,0,0,7593,0,0,0,0,0,0,0,0,99765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2793403,2069942
cc-urand,nobalance,cpu0.weightedinterleave0_2,181.05,55.23,17.5,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,5697206,5643729
cc-urand,nobalance_thp,cpu0.weightedinterleave0_2,155.71,64.22,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300027,2246671
cc-urand,nobalance_thp_64K,cpu0.weightedinterleave0_2,174.44,57.33,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505167,2448982
cc-urand,nobalance_thp_512K,cpu0.weightedinterleave0_2,173.75,57.55,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2315677,2263410
cc-urand,autonuma_tiering,cpu0.weightedinterleave0_2,181.51,55.09,17.5,2588717,2588723,0,2588785,2588717,0,2588717,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,8285888,5643754
cc-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2,133.6,74.85,17.5,2294044,2294049,4480,6732,2294044,0,2294044,4480,0,0,0,0,0,0,0,0,13295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2293766,2246675
cc-urand,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,156.56,63.87,17.5,2457809,2457814,0,158259,2457809,0,2457809,0,0,0,153606,0,0,0,0,0,0,0,0,426492,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2656353,2448926
cc-urand,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,156.13,64.05,4.6,2490639,2490654,0,21198,2490649,0,2490649,0,0,0,0,0,0,19456,0,0,0,0,0,0,0,0,53232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339237,2263426
cc-web,nobalance,cpu0.weightedinterleave0_2,269.47,37.11,15.3,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,10453841,10366560
cc-web,nobalance_thp,cpu0.weightedinterleave0_2,230.06,43.47,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2139154,2056868
