workload,tiering,mem_policy,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,numa_pages_migrated,thp_migration_success,thp_fault_alloc,numa_local,numa_other
faster_uniform_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2,313.3,1165230.66,8.3,0,0,0,0,0,0,0,4241,92292,5539
faster_uniform_ycsb_a,nobalance_thp_64K,cpu0.weightedinterleave0_2,313.32,1163580.41,8.3,0,0,0,1,0,0,0,4241,90945,5139
faster_uniform_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2,319.11,1750270.75,8.3,1064230,1086148,0,1064458,1064457,1064457,0,0,2245131,1090908
faster_uniform_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2,313.11,2207538.19,7.7,1064272,1086120,2120,2487,1064344,1064344,2078,4241,95018,5557
faster_uniform_ycsb_a,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,313.14,2205660.95,8.3,1064905,1086292,2120,2193,1064905,1064905,2079,4241,94246,5125
faster_uniform_ycsb_b,nobalance,cpu0.weightedinterleave0_2,318.85,1353460.71,8.3,0,0,0,0,0,0,0,0,1187581,1090936
faster_uniform_ycsb_b,nobalance_thp,cpu0.weightedinterleave0_2,313.3,1582483.17,8.3,0,0,0,0,0,0,0,4241,91442,5527
faster_uniform_ycsb_b,nobalance_thp_64K,cpu0.weightedinterleave0_2,313.51,1569326.06,8.3,0,0,0,0,0,0,0,4241,89243,5112
faster_uniform_ycsb_b,autonuma_tiering,cpu0.weightedinterleave0_2,319.03,2298944.63,8.3,1064454,1086146,0,1064456,1064454,1064454,0,0,2263589,1090917
faster_uniform_ycsb_b,autonuma_tiering_thp,cpu0.weightedinterleave0_2,313.11,3068309.69,8.3,1064855,1086630,2121,2486,1064855,1064855,2079,4241,93852,5521
faster_uniform_ycsb_b,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,313.1,3074454.87,8.3,1065417,1086777,2121,2194,1065418,1065418,2080,4241,98290,5140
faster_uniform_ycsb_c,nobalance,cpu0.weightedinterleave0_2,318.8,1497248.88,8.3,0,0,0,0,0,0,0,0,1231945,1090963
faster_uniform_ycsb_c,nobalance_thp,cpu0.weightedinterleave0_2,313.29,1756416.74,8.3,0,0,0,0,0,0,0,4241,94496,5552
faster_uniform_ycsb_c,nobalance_thp_64K,cpu0.weightedinterleave0_2,313.32,1756029.36,8.3,0,0,0,0,0,0,0,4241,86150,5119
faster_uniform_ycsb_c,autonuma_tiering,cpu0.weightedinterleave0_2,319.02,2580625.78,7.0,1064457,1086149,0,1064458,1064457,1064457,0,0,2240516,1090935
faster_uniform_ycsb_c,autonuma_tiering_thp,cpu0.weightedinterleave0_2,313.09,3505127.82,8.3,1064783,1086634,2121,2489,1064857,1064857,2079,4241,95828,5530
faster_uniform_ycsb_c,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,313.09,3497728.05,8.3,1064749,1086249,2120,2190,1064874,1064874,2079,4241,96149,5147
faster_uniform_ycsb_f,nobalance,cpu0.weightedinterleave0_2,318.98,1525239.36,8.3,0,0,0,0,0,0,0,0,1179116,1090918
faster_uniform_ycsb_f,nobalance_thp,cpu0.weightedinterleave0_2,313.55,1850896.35,8.3,0,0,0,0,0,0,0,4241,93446,5549
faster_uniform_ycsb_f,nobalance_thp_64K,cpu0.weightedinterleave0_2,313.66,1852486.01,8.3,0,0,0,0,0,0,0,4241,89870,5121
faster_uniform_ycsb_f,autonuma_tiering,cpu0.weightedinterleave0_2,319.33,2047839.76,7.8,1062111,1086147,0,1062200,1062199,1062199,0,0,2240647,1090956
faster_uniform_ycsb_f,autonuma_tiering_thp,cpu0.weightedinterleave0_2,313.37,2680989.71,8.2,1064787,1086636,2121,2492,1064860,1064860,2079,4241,94667,5559
faster_uniform_ycsb_f,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,313.34,2674064.18,8.3,1065301,1086788,2121,2198,1065422,1065422,2080,4241,95188,5159
faster_ycsb_a,nobalance,cpu0.weightedinterleave0_2,319.05,1518422.01,8.3,0,0,0,0,0,0,0,0,1178448,1090912
faster_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2,313.56,1844258.96,8.3,0,0,0,0,0,0,0,4241,92645,5535
faster_ycsb_a,nobalance_thp_64K,cpu0.weightedinterleave0_2,313.75,1838019.24,8.3,0,0,0,1,0,0,0,4241,89678,5105
